teinte_id;teinte_label;Teinte_hexa
958;804 2X;#ff7f1e
959;3965;#e8dd11
960;3975;#b5a80c
961;3985;#998c0a
962;3995;#6d6002
963;400;#d1c6b5
964;401;#c1b5a5
965;402;#afa593
966;403;#998c7c
967;805 2X;#f93a2b
968;806 2X;#f7027c
969;807 2X;#bf008c
970;808;#00b59b
971;809;#dde00f
972;810;#ffcc1e
973;811;#ff7247
974;812;#fc2366
975;404;#827566
976;405;#6b5e4f
977;Black       ;#3d332
978;406;#cec1b5
979;407;#baaa9e
980;408;#a8998c
981;409;#99897c
982;410;#7c6d63
983;813;#e50099
984;814;#8c60c1
985;808 2X;#00a087
986;809 2X;#d6d60c
987;810 2X;#ffbc21
988;811 2X;#ff5416
989;812 2X;#fc074f
990;813 2X;#d10084
991;411;#66594c
992;814 2X;#703faf
